subject_id,decision_threshold,val_eer,val_auc,p1_auc,p1_far,p1_frr,p2_auc,p2_far,p2_frr
1,0.11893956077133572,0.002564102564102564,0.9983760683760684,0.9972364672364673,0.004273504273504274,0.06666666666666667,0.9259027777777776,0.034401709401709404,0.75
2,-0.2876135654943881,0.026923076923076918,0.9958689458689458,0.9944729344729345,0.022222222222222223,0.0,0.9588497150997152,0.052564102564102565,0.18333333333333332
3,0.024590425844327024,0.001282051282051282,0.9985470085470085,0.9927920227920228,0.002564102564102564,0.6333333333333333,0.8835933048433049,0.03247863247863248,0.8166666666666667
4,0.030967391075172657,0.0029914529914529917,0.9954985754985756,0.9942165242165242,0.005128205128205128,0.23333333333333334,0.9549305555555555,0.03141025641025641,0.475
5,0.6075316348383915,0.0029914529914529917,0.9956125356125356,0.9610541310541311,0.007692307692307693,0.26666666666666666,0.8706160968660968,0.03012820512820513,0.5833333333333334
6,-0.5276265265744928,0.030341880341880338,0.9928490028490028,0.9731339031339031,0.03333333333333333,0.03333333333333333,0.9612321937321937,0.02606837606837607,0.19166666666666668
7,0.24975767039105046,0.0038461538461538464,0.9943019943019943,0.9971794871794872,0.006837606837606838,0.0,0.9585149572649573,0.03311965811965812,0.25
8,-0.5247039327266907,0.02521367521367521,0.9948717948717948,0.9943304843304843,0.017094017094017096,0.06666666666666667,0.9592094017094017,0.01752136752136752,0.16666666666666666
9,-0.39454785387242763,0.031196581196581193,0.958974358974359,0.9938176638176638,0.023931623931623933,0.03333333333333333,0.8237571225071225,0.04230769230769231,0.8666666666666667
10,0.4346852627805895,0.0008547008547008547,0.9998290598290598,0.9960683760683761,0.004273504273504274,0.1,0.9273450854700854,0.03034188034188034,0.6916666666666667
11,-0.5235290416989926,0.00811965811965812,0.9963817663817662,0.945014245014245,0.026495726495726495,0.06666666666666667,0.7322738603988603,0.10128205128205128,0.7833333333333333
12,-0.71575593120629,0.034188034188034185,0.99,0.981937321937322,0.03247863247863248,0.13333333333333333,0.8679113247863249,0.06431623931623931,0.38333333333333336
13,-0.4021847718984579,0.004273504273504274,0.9973219373219373,0.9977207977207977,0.01282051282051282,0.0,0.8007407407407409,0.01858974358974359,0.6333333333333333
14,-0.31482064458410797,0.025641025641025637,0.9941310541310541,0.9938461538461539,0.011111111111111112,0.13333333333333333,0.7829380341880343,0.039316239316239315,0.9333333333333333
15,0.356317577572987,0.0008547008547008547,0.9989743589743589,0.9641595441595442,0.004273504273504274,0.16666666666666666,0.9669782763532764,0.01047008547008547,0.875
16,-0.42036566640857087,0.030341880341880338,0.9648148148148148,0.9607692307692308,0.05555555555555555,0.1,0.9114565527065527,0.0532051282051282,0.225
17,-0.09554336747649272,0.00042735042735042735,0.9991737891737892,1.0,0.0,0.0,0.9807086894586895,0.013461538461538462,0.31666666666666665
18,-1.1125566833005305,0.0846153846153846,0.9844729344729345,0.9866666666666666,0.12991452991452992,0.0,0.94184650997151,0.16474358974358974,0.08333333333333333
19,0.42281605447911774,0.0008547008547008547,0.9986609686609687,0.9933333333333334,0.008547008547008548,0.3,0.8508262108262108,0.026495726495726495,0.9416666666666667
20,-0.8103590022937768,0.09017094017094016,0.8973789173789174,0.914900284900285,0.0641025641025641,0.16666666666666666,0.8763212250712251,0.09743589743589744,0.23333333333333334
21,0.367457030091489,0.00042735042735042735,0.9999145299145299,0.9778917378917379,0.005128205128205128,0.3333333333333333,0.9734989316239315,0.009401709401709401,0.675
22,-0.5269150203594051,0.005128205128205128,0.9948717948717949,0.9932763532763532,0.03675213675213675,0.0,0.9183279914529915,0.05512820512820513,0.5833333333333334
23,-0.8488595414820468,0.06666666666666665,0.9550427350427351,0.9972079772079773,0.07094017094017094,0.0,0.9583386752136752,0.07948717948717948,0.09166666666666666
24,0.14445312131378962,0.004700854700854701,0.9956410256410256,0.987948717948718,0.013675213675213675,0.13333333333333333,0.8537464387464387,0.06645299145299145,0.9916666666666667
25,0.07646766432535257,0.0017094017094017094,0.999002849002849,0.9952706552706553,0.011965811965811967,0.0,0.9600089031339033,0.016666666666666666,0.38333333333333336
26,-0.12201699513775477,0.001282051282051282,0.9995441595441595,0.9849572649572649,0.023931623931623933,0.03333333333333333,0.8614690170940171,0.049145299145299144,0.9
27,1.1371364296578856,0.00042735042735042735,0.9991737891737892,0.9926495726495727,0.009401709401709401,0.06666666666666667,0.9855573361823362,0.008333333333333333,0.24166666666666667
28,-0.1288056150801522,0.00811965811965812,0.9926210826210826,0.9956125356125356,0.009401709401709401,0.0,0.938744658119658,0.02435897435897436,0.75
