subject_id,decision_threshold,val_eer,val_auc,p1_auc,p1_far,p1_frr,p2_auc,p2_far,p2_frr
1,0.11879077362972312,0.002564102564102564,0.9983760683760684,0.9972079772079772,0.004273504273504274,0.06666666666666667,0.9258974358974358,0.034401709401709404,0.75
2,-0.2877721777933582,0.026923076923076918,0.9958689458689458,0.9944729344729345,0.022222222222222223,0.0,0.9588532763532763,0.052564102564102565,0.18333333333333332
3,0.025428982629122077,0.001282051282051282,0.9984900284900285,0.9924501424501425,0.002564102564102564,0.6333333333333333,0.8807638888888889,0.03226495726495727,0.8166666666666667
4,0.029949800250685055,0.0029914529914529917,0.9954985754985756,0.9942165242165242,0.005128205128205128,0.23333333333333334,0.9548860398860398,0.03162393162393162,0.475
5,0.6073795972618155,0.0029914529914529917,0.9955840455840456,0.9610826210826211,0.007692307692307693,0.26666666666666666,0.8705787037037037,0.03012820512820513,0.5833333333333334
6,-0.5271254094488631,0.030341880341880338,0.9928490028490028,0.9731054131054131,0.03333333333333333,0.03333333333333333,0.9612464387464388,0.02606837606837607,0.19166666666666668
7,0.24827246061073183,0.0038461538461538464,0.9943019943019943,0.9971794871794872,0.006837606837606838,0.0,0.958511396011396,0.03311965811965812,0.25
8,-0.5274824296591953,0.02521367521367521,0.9948433048433047,0.9943874643874644,0.01623931623931624,0.06666666666666667,0.9590936609686609,0.017735042735042734,0.16666666666666666
9,-0.3945206358861113,0.031196581196581193,0.958974358974359,0.9938176638176638,0.023931623931623933,0.03333333333333333,0.8237535612535611,0.04230769230769231,0.8666666666666667
10,0.43562621368403787,0.0008547008547008547,0.9998290598290598,0.9960683760683761,0.005128205128205128,0.1,0.9273450854700853,0.03034188034188034,0.6916666666666667
11,-0.5220180966967698,0.00811965811965812,0.9964102564102563,0.9450427350427352,0.02564102564102564,0.06666666666666667,0.73184650997151,0.1014957264957265,0.7833333333333333
12,-0.7092865546683897,0.03547008547008547,0.9898575498575499,0.9812250712250712,0.03418803418803419,0.13333333333333333,0.8723326210826211,0.0655982905982906,0.39166666666666666
13,-0.4022536839164981,0.004273504273504274,0.9973219373219373,0.9977207977207977,0.01282051282051282,0.0,0.8008084045584046,0.01858974358974359,0.6333333333333333
14,-0.31292192162385657,0.025641025641025637,0.9941310541310541,0.9938461538461539,0.011111111111111112,0.13333333333333333,0.7824341168091169,0.039316239316239315,0.9333333333333333
15,0.35642319187390914,0.0008547008547008547,0.9989743589743589,0.9641595441595442,0.004273504273504274,0.16666666666666666,0.9670334757834759,0.01047008547008547,0.875
16,-0.4207988065380741,0.030341880341880338,0.9648148148148148,0.9607692307692308,0.05555555555555555,0.1,0.9114458689458688,0.0532051282051282,0.225
17,-0.09611585581848614,0.00042735042735042735,0.9991737891737892,1.0,0.0,0.0,0.9806980056980058,0.013461538461538462,0.31666666666666665
18,-0.9399548276799079,0.07008547008547009,0.987122507122507,0.9866951566951567,0.09829059829059829,0.0,0.9374074074074074,0.1232905982905983,0.13333333333333333
19,0.42267036704161365,0.0008547008547008547,0.9986609686609687,0.9933333333333334,0.008547008547008548,0.3,0.8508226495726495,0.026495726495726495,0.9416666666666667
20,-0.8104913234847531,0.09017094017094016,0.8973789173789174,0.914900284900285,0.0641025641025641,0.16666666666666666,0.8763105413105414,0.09743589743589744,0.23333333333333334
21,0.36673916455114286,0.00042735042735042735,0.9999145299145299,0.977948717948718,0.005128205128205128,0.3333333333333333,0.9735381054131054,0.009401709401709401,0.675
22,-0.5269353157927195,0.005128205128205128,0.9948717948717949,0.9932763532763532,0.03675213675213675,0.0,0.918292378917379,0.05512820512820513,0.5833333333333334
23,-0.8517072491106086,0.06666666666666665,0.9550712250712251,0.9972364672364673,0.07179487179487179,0.0,0.9584045584045584,0.08055555555555556,0.09166666666666666
24,0.1357335326017841,0.005128205128205128,0.9956125356125356,0.9880056980056979,0.013675213675213675,0.13333333333333333,0.8529095441595441,0.06837606837606838,0.9916666666666667
25,0.07603484398080163,0.0017094017094017094,0.999002849002849,0.9952991452991453,0.01282051282051282,0.0,0.9600124643874643,0.016666666666666666,0.38333333333333336
26,-0.12174931467726413,0.001282051282051282,0.9995441595441595,0.9849572649572649,0.023076923076923078,0.03333333333333333,0.8614797008547008,0.049145299145299144,0.9
27,1.1371614766789495,0.00042735042735042735,0.9991737891737892,0.9926780626780627,0.009401709401709401,0.06666666666666667,0.9855537749287749,0.008333333333333333,0.24166666666666667
28,-0.12881417427098896,0.00811965811965812,0.9926210826210826,0.9956125356125356,0.009401709401709401,0.0,0.9387428774928773,0.02435897435897436,0.75
29,-0.5020071242029771,0.0517094017094017,0.9293447293447292,0.8974074074074073,0.007692307692307693,0.2,0.9203311965811966,0.054914529914529914,0.325
30,-0.16069496907022907,0.018376068376068373,0.9910256410256411,0.9845868945868946,0.011111111111111112,0.03333333333333333,0.9231855413105413,0.051709401709401706,0.275
31,0.531883784613953,0.0017094017094017094,0.9985185185185186,0.9642165242165243,0.005128205128205128,0.13333333333333333,0.9770067663817663,0.020085470085470087,0.55
32,1.0091318746242703,0.00042735042735042735,0.9991452991452991,0.9988034188034188,0.0008547008547008547,0.13333333333333333,0.928125,0.010256410256410256,1.0
33,-0.5818929086486566,0.007264957264957265,0.9978632478632479,0.9976353276353277,0.03162393162393162,0.0,0.9588390313390314,0.05149572649572649,0.09166666666666666
34,-0.5308555410083855,0.004700854700854701,0.9956410256410256,0.9983190883190883,0.017948717948717947,0.0,0.9363657407407407,0.04401709401709402,0.35
35,-0.5695579065340497,0.005555555555555556,0.9971794871794872,0.9967236467236468,0.017948717948717947,0.0,0.99880698005698,0.026923076923076925,0.0
36,0.09440523366237219,0.018376068376068373,0.9677207977207978,0.9581766381766382,0.002564102564102564,0.5333333333333333,0.8994408831908832,0.029273504273504274,0.5583333333333333
37,0.22620626810628996,0.001282051282051282,0.9992307692307693,0.995954415954416,0.010256410256410256,0.03333333333333333,0.9788283475783475,0.013034188034188035,0.3416666666666667
38,0.3224221860909071,0.001282051282051282,0.9975213675213676,0.9956980056980057,0.005128205128205128,0.03333333333333333,0.9349537037037038,0.026923076923076925,0.7083333333333334
39,1.2765846918048613,0.0,1.0,0.9983190883190883,0.0017094017094017094,0.0,0.9750605413105413,0.006837606837606838,0.7583333333333333
40,1.4663307781738872,0.003418803418803419,0.9980626780626781,0.9935042735042735,0.002564102564102564,0.7,0.908457977207977,0.01282051282051282,0.9916666666666667
